,episode,score,avg_score,epsilon
149,149,-17.468347183697404,-79.5783025762748,0.01
150,150,-178.6795803633359,-80.69080495578324,0.01
151,151,-222.48651616043935,-81.76140576064701,0.01
152,152,-315.1252885337466,-83.39332944895385,0.01
153,153,-315.2480566638334,-84.76682199347917,0.01
154,154,-154.00648799389631,-84.11367712845599,0.01
155,155,-163.9151434745337,-83.74648407367891,0.01
156,156,-176.58567512157617,-85.1912269375251,0.01
157,157,-194.51079986576877,-84.68240946367541,0.01
158,158,-232.43614101021248,-85.41967756386912,0.01
159,159,-230.0520152761913,-87.24142494780804,0.01
160,160,-215.373752638969,-88.22553845707786,0.01
161,161,-210.66666750531274,-87.72207614315272,0.01
162,162,-222.2847249089026,-88.47246379131737,0.01
163,163,-186.33738485801155,-89.25473645589132,0.01
164,164,-202.49053431788064,-90.25754946110355,0.01
165,165,-321.84777514836645,-92.55732504769838,0.01
166,166,-199.23301288259916,-93.26545251026833,0.01
167,167,-293.16869411733745,-95.46871443079222,0.01
168,168,-235.4895388916483,-96.84137151860257,0.01
169,169,-388.98129384412704,-99.38555344056377,0.01
170,170,-271.1130752906878,-100.83194753697981,0.01
171,171,-304.8088403975953,-103.12408508570057,0.01
172,172,-321.20992952846456,-105.10230409538981,0.01
173,173,-296.67003074112966,-107.71169991433057,0.01
174,174,-396.21645053650275,-111.25056393383838,0.01
175,175,-249.9789559669402,-112.9922956932713,0.01
176,176,-227.68093390571556,-114.81373073270943,0.01
177,177,-172.79259775043948,-116.41321901783158,0.01
178,178,-281.58236339304324,-118.78660446276886,0.01
179,179,-249.02416845951464,-121.21560099495528,0.01
180,180,-275.53084550194677,-124.04939288080341,0.01
181,181,-265.72567120239137,-126.25228509524459,0.01
182,182,-272.42716476181675,-128.81745099848166,0.01
183,183,-350.61019837545837,-132.23239422056827,0.01
184,184,-308.9238102426162,-134.876409716709,0.01
185,185,-239.14032877493534,-136.92543519129222,0.01
186,186,-224.31543983198992,-138.9488115387901,0.01
187,187,-199.25453706140092,-140.43357436501998,0.01
188,188,-204.27773944236134,-142.32086622381894,0.01
189,189,-180.66606437737707,-143.87898658256185,0.01
190,190,-171.8506357973906,-145.20389189962148,0.01
191,191,-223.16299322977574,-146.99581182214587,0.01
192,192,-176.7464490898957,-148.09637535820423,0.01
193,193,-199.69369880705813,-149.82490213934994,0.01
194,194,-153.1703114589701,-150.66056246468187,0.01
195,195,-5.103150177692785,-150.44833087609112,0.01
196,196,-35.775327575594815,-150.66947709556342,0.01
197,197,5.298430526225603,-150.24120980181507,0.01
198,198,-21.187403616340397,-150.03365918109898,0.01
199,199,166.7293174194262,-147.5582750132335,0.01
200,200,-102.11001916725414,-147.8048226810609,0.01
201,201,8.827154988404248,-147.20745587258924,0.01
202,202,31.792854966977472,-146.55842305558215,0.01
203,203,270.04741359932245,-143.63143463401082,0.01
204,204,144.9550115500852,-141.6732686593284,0.01
205,205,214.90163054927984,-138.5771087358643,0.01
206,206,208.27326622408995,-135.4178719019579,0.01
207,207,225.78803989962876,-132.65966014092493,0.01
208,208,-52.27875367615995,-132.97308814073946,0.01
209,209,-42.700552125088684,-133.26456808999723,0.01
210,210,-10.907292156179457,-132.97770777864565,0.01
211,211,-21.078942561167892,-133.25798596136084,0.01
212,212,-447.22014727270414,-137.32330223726044,0.01
213,213,-32.40421162611721,-137.34330899986506,0.01
214,214,-468.2390554562004,-143.95105104908555,0.01
215,215,8.720334705179809,-143.59050499837448,0.01
216,216,-131.0336492229051,-144.01475230548053,0.01
217,217,-279.0321079431221,-148.0335285204042,0.01
218,218,-162.04427771609735,-149.5183188995879,0.01
219,219,-23.805401709371427,-149.57960305372694,0.01
